"","sex","age","occupations"
"168",1,21,14
"169",1,16,-1
"170",1,20,0
"171",0,38,20
"172",1,40,1
"173",1,44,2
"174",1,20,1
"175",1,34,2
"176",1,57,14
"177",0,18,-1
"178",1,54,18
"179",1,30,14
"180",1,24,1
"181",1,42,12
"182",1,11,-1
"183",0,64,21
"184",0,44,2
"185",1,28,14
"186",0,27,1
"187",1,6,-1
"188",1,60,21
"189",1,56,19
"190",1,21,3
"191",1,26,1
"192",0,30,15
"193",0,78,16
"194",1,0,-1
"195",1,23,14
"196",1,10,-1
"197",0,87,20
"198",0,27,2
"199",0,57,0
"200",1,30,12
"201",0,20,14
"202",1,27,14
"203",0,36,1
"204",1,49,16
"205",1,15,-1
"206",1,41,2
"207",1,37,16
"208",1,46,15
"209",1,33,14
"210",1,58,0
"211",1,36,12
"212",1,27,14
"213",1,4,-1
"214",1,14,-1
"215",0,5,-1
"216",0,37,14
"217",0,10,-1
"218",1,42,2
"219",0,42,2
"220",1,63,15
"221",1,1,-1
"222",0,42,7
"223",1,68,14
"224",1,37,0
"225",1,32,12
"226",0,9,-1
"227",0,1,-1
"228",1,3,-1
"229",0,40,2
"230",1,55,21
"231",1,62,18
"232",1,34,12
"233",0,19,1
"234",1,2,-1
"235",0,47,14
"236",0,7,-1
"237",1,31,6
"238",1,47,19
"239",1,59,20
"240",1,0,-1
"241",1,6,-1
"242",1,11,-1
"243",1,17,-1
"244",1,20,2
"245",1,33,2
"246",1,29,18
"247",1,33,12
"248",0,43,14
"249",1,32,2
"250",0,1,-1
"251",0,61,21
"252",0,22,1
"253",1,25,12
"254",0,31,3
"255",1,36,9
"256",1,68,14
"257",1,40,14
"258",1,37,14
"259",1,26,21
"260",1,13,-1
"261",1,40,2
"262",1,79,1
"263",1,47,8
"264",0,36,21
"265",1,1,-1
"266",1,2,-1
"267",0,8,-1
"268",1,69,20
"269",1,12,-1
"270",0,52,9
"271",0,50,14
"272",1,26,18
"273",1,29,16
"274",1,50,16
"275",1,30,0
"276",0,42,20
"277",0,1,-1
"278",0,24,14
"279",1,98,2
"280",1,90,14
"281",1,17,-1
"282",0,17,-1
"283",0,13,-1
"284",1,14,-1
"285",0,18,-1
"286",1,19,14
"287",1,32,9
"288",1,4,-1
"289",1,31,21
"290",1,14,-1
"291",1,0,-1
"292",1,54,21
"293",1,47,1
"294",0,44,14
"295",1,5,-1
"296",0,13,-1
"297",0,35,12
"298",1,63,12
"299",1,15,-1
"300",1,15,-1
"301",1,29,14
"302",1,5,-1
"303",1,6,-1
"304",1,44,21
"305",0,36,21
"306",1,32,12
"307",1,26,20
"308",1,10,-1
"309",1,25,9
"310",1,23,2
"311",1,33,14
"312",1,22,1
"313",1,55,15
"314",1,52,12
"315",1,38,16
"316",1,49,20
"317",0,5,-1
"318",0,21,14
"319",1,22,21
"320",1,86,14
"321",0,66,9
"322",1,32,21
"323",0,36,5
"324",1,73,21
"325",1,48,20
"326",0,9,-1
"327",1,8,-1
"328",1,41,14
"329",1,16,-1
"330",1,6,-1
"331",0,21,1
"332",1,5,-1
"333",1,7,-1
"334",1,15,-1
"335",1,11,-1
"336",0,58,14
"337",0,13,-1
"338",1,49,14
"339",0,4,-1
"340",1,20,12
"341",0,36,2
"342",0,21,21
"343",0,44,21
"344",1,38,0
"345",1,0,-1
"346",1,29,14
"347",1,49,20
"348",1,41,1
"349",1,21,5
"350",1,4,-1
"351",1,16,-1
"352",0,19,16
"353",1,26,3
"354",1,39,18
"355",1,62,1
"356",1,8,-1
"357",1,22,14
"358",0,83,14
"359",1,35,13
"360",1,52,14
"361",0,25,16
"362",1,15,-1
"363",1,19,0
"364",1,10,-1
"365",0,14,-1
"366",1,33,21
"367",1,19,18
"368",0,68,20
"369",1,7,-1
"370",1,35,7
"371",1,5,-1
"372",1,81,1
"373",0,36,2
"374",0,20,0
"375",1,30,18
"376",1,14,-1
"377",1,21,19
"378",1,2,-1
"379",0,11,-1
"380",0,28,14
"381",1,16,-1
"382",1,98,14
"383",1,51,12
"384",1,93,14
"385",1,33,12
"386",0,59,21
"387",1,39,21
"388",1,21,2
"389",0,11,-1
"390",1,42,2
"391",1,10,-1
"392",1,26,19
"393",1,44,0
"394",0,57,2
"395",1,68,14
"396",1,3,-1
"397",1,43,21
"398",1,32,12
"399",1,23,21
"400",1,44,14
"401",0,29,14
"402",1,39,9
"403",1,0,-1
"404",0,54,14
"405",1,13,-1
"406",1,0,-1
"407",0,39,21
"408",1,26,14
"409",1,22,0
"410",1,43,12
"411",0,12,-1
"412",1,47,15
"413",1,21,16
"414",1,17,-1
"415",1,8,-1
"416",0,8,-1
"417",1,3,-1
"418",1,25,12
"419",0,73,1
"420",1,76,14
"421",1,26,15
"422",1,15,-1
"423",1,54,1
"424",1,10,-1
"425",1,34,14
"426",1,9,-1
"427",0,63,21
"428",0,23,12
"429",0,16,-1
"430",1,13,-1
"431",1,45,7
"432",1,44,12
"433",1,18,-1
"434",1,28,0
"435",1,32,2
"436",1,40,21
"437",1,15,-1
"438",1,57,2
"439",1,14,-1
"440",1,29,1
"441",1,54,12
"442",0,15,-1
"443",1,35,3
"444",1,61,12
"445",1,18,-1
"446",0,32,8
"447",1,20,12
"448",1,39,19
"449",1,34,21
"450",0,3,-1
"451",1,7,-1
"452",0,39,19
"453",1,41,2
"454",1,11,-1
"455",1,35,0
"456",0,51,18
"457",1,60,12
"458",0,4,-1
"459",1,31,14
"460",1,64,18
"461",0,14,-1
"462",1,38,19
"463",0,43,1
"464",1,28,14
"465",1,36,15
"466",1,42,1
"467",1,27,9
"468",0,39,12
"469",1,63,0
"470",1,23,15
"471",0,53,12
"472",1,31,12
"473",1,15,-1
"474",0,66,19
"475",1,59,12
"476",0,7,-1
"477",0,7,-1
"478",1,23,2
"479",1,21,12
"480",0,15,-1
"481",1,42,14
"482",1,1,-1
"483",1,27,1
"484",1,19,14
"485",1,1,-1
"486",1,41,15
"487",1,47,12
"488",1,19,12
"489",1,24,21
"490",1,23,20
"491",0,73,2
"492",1,41,17
"493",0,51,12
"494",1,21,14
"495",0,43,9
"496",1,60,14
"497",1,15,-1
"498",1,39,21
"499",1,16,-1
"500",0,5,-1
"501",1,23,0
"502",1,58,0
"503",1,20,14
"504",0,80,20
"505",1,46,1
"506",1,4,-1
"507",1,7,-1
"508",0,66,14
"509",1,21,1
"510",0,4,-1
"511",1,29,6
"512",0,12,-1
"513",0,48,1
"514",1,36,3
"515",1,8,-1
"516",1,17,-1
"517",1,20,12
"518",1,55,9
"519",0,16,-1
"520",0,62,2
"521",1,8,-1
"522",0,27,12
"523",1,53,2
"524",1,4,-1
"525",1,52,15
"526",1,36,21
"527",1,30,1
"528",1,4,-1
"529",1,7,-1
"530",1,39,7
"531",0,55,2
"532",1,32,9
"533",1,52,12
"534",1,69,2
"535",0,33,14
"536",1,24,2
"537",1,39,20
"538",1,15,-1
"539",1,92,14
"540",1,53,14
"541",1,27,18
"542",0,32,15
"543",1,15,-1
"544",1,33,21
"545",0,72,21
"546",1,20,14
"547",1,58,0
"548",1,35,4
"549",1,62,15
"550",1,12,-1
"551",1,28,2
"552",1,5,-1
"553",1,29,18
"554",0,59,15
"555",0,30,12
"556",1,43,14
"557",0,10,-1
"558",0,7,-1
"559",1,71,20
"560",1,8,-1
"561",1,28,21
"562",0,87,13
"563",1,57,21
"564",1,47,12
"565",1,40,0
"566",1,6,-1
"567",1,47,21
"568",0,15,-1
"569",1,22,14
"570",1,9,-1
"571",0,49,1
"572",1,47,12
"573",0,5,-1
"574",1,35,14
"575",1,50,14
"576",0,17,-1
"577",1,39,21
"578",0,22,18
"579",1,38,2
"580",1,28,18
"581",1,37,14
"582",1,64,1
"583",1,45,12
"584",1,2,-1
"585",1,37,0
"586",1,11,-1
"587",1,13,-1
"588",0,27,14
"589",1,8,-1
"590",1,45,1
"591",1,11,-1
"592",1,0,-1
"593",1,52,12
"594",0,42,1
"595",1,79,16
"596",1,50,9
"597",0,35,15
"598",1,18,-1
"599",1,79,14
"600",1,29,5
"601",0,39,21
"602",1,41,2
"603",0,31,20
"604",1,1,-1
"605",0,60,21
"606",0,65,12
"607",1,49,1
"608",1,2,-1
"609",1,9,-1
"610",1,24,2
"611",1,54,1
"612",1,52,1
"613",1,8,-1
"614",0,46,0
"615",0,24,19
"616",1,11,-1
"617",1,9,-1
"618",0,7,-1
"619",1,84,12
"620",1,36,1
"621",1,3,-1
"622",1,55,1
"623",0,17,-1
"624",1,4,-1
"625",1,50,21
"626",1,16,-1
"627",1,1,-1
"628",0,15,-1
"629",1,6,-1
"630",1,6,-1
"631",1,43,14
"632",1,47,12
"633",0,47,9
"634",1,14,-1
"635",0,45,1
"636",1,16,-1
"637",1,86,0
"638",1,59,20
"639",1,62,14
"640",1,30,2
"641",0,33,4
"642",1,1,-1
"643",1,18,-1
"644",1,7,-1
"645",1,92,19
"646",1,15,-1
"647",1,31,21
"648",1,2,-1
"649",1,24,1
"650",1,42,1
"651",1,3,-1
"652",1,6,-1
"653",0,73,14
"654",1,23,16
"655",0,66,20
"656",0,15,-1
"657",1,38,1
"658",1,2,-1
"659",1,55,12
"660",1,18,-1
"661",1,36,19
"662",0,50,2
"663",0,4,-1
"664",1,68,12
"665",1,50,16
"666",0,24,12
"667",1,13,-1
"668",1,32,21
"669",1,12,-1
"670",1,6,-1
"671",1,19,0
"672",1,2,-1
"673",1,55,14
"674",1,31,9
"675",1,22,12
"676",1,39,3
"677",1,45,14
"678",0,38,16
"679",1,24,20
"680",1,3,-1
"681",1,33,20
"682",0,36,2
"683",1,39,15
"684",0,66,0
"685",1,47,7
"686",1,22,14
"687",1,19,1
"688",1,6,-1
"689",1,3,-1
"690",0,33,12
"691",1,7,-1
"692",1,60,18
"693",0,26,1
"694",1,83,14
"695",1,50,12
"696",1,65,20
"697",1,16,-1
"698",1,30,2
"699",0,2,-1
"700",1,65,20
"701",1,5,-1
"702",1,30,21
"703",1,38,2
"704",1,9,-1
"705",1,49,14
"706",0,46,0
"707",1,45,7
"708",1,42,19
"709",1,29,14
"710",1,20,7
"711",1,24,12
"712",1,83,21
"713",1,25,14
"714",1,29,2
"715",0,30,2
"716",1,36,0
"717",0,22,12
"718",1,35,2
"719",0,21,2
"720",1,41,21
"721",1,37,19
"722",0,17,-1
"723",0,21,1
"724",1,29,13
"725",1,27,12
"726",1,15,-1
"727",1,72,14
"728",1,21,21
"729",1,21,12
"730",0,21,14
"731",0,16,-1
"732",0,64,8
"733",1,82,6
"734",1,18,-1
"735",1,36,12
"736",0,54,18
"737",1,16,-1
"738",0,13,-1
"739",0,40,11
"740",0,66,0
"741",1,38,18
"742",1,18,-1
"743",1,30,21
"744",0,37,12
"745",0,24,21
"746",1,30,14
"747",1,21,21
"748",1,52,11
"749",1,5,-1
"750",0,11,-1
"751",1,20,12
"752",1,6,-1
"753",1,8,-1
"754",0,33,1
"755",0,70,1
"756",1,39,20
"757",1,11,-1
"758",1,45,15
"759",0,42,0
"760",0,17,-1
"761",1,45,0
"762",1,21,1
"763",1,8,-1
"764",0,6,-1
"765",1,56,12
"766",1,25,12
"767",0,6,-1
"768",1,18,-1
"769",1,50,12
"770",0,46,2
"771",1,60,12
"772",1,6,-1
"773",1,17,-1
"774",1,16,-1
"775",1,10,-1
"776",1,52,12
"777",1,22,2
"778",1,55,14
"779",1,12,-1
"780",1,12,-1
"781",1,24,0
"782",0,13,-1
"783",1,38,12
"784",1,51,2
"785",1,43,12
"786",1,8,-1
"787",0,5,-1
"788",1,52,0
"789",1,47,21
"790",1,24,20
"791",1,12,-1
"792",0,59,12
"793",1,17,-1
"794",1,55,7
"795",1,52,12
"796",1,7,-1
"797",1,19,0
"798",1,11,-1
"799",1,32,16
"800",1,6,-1
"801",1,49,0
"802",1,49,12
"803",1,40,2
"804",1,1,-1
"805",1,37,14
"806",1,36,0
"807",0,64,2
"808",1,6,-1
"809",1,55,15
"810",1,60,1
"811",0,18,-1
"812",1,99,15
"813",0,4,-1
"814",1,27,0
"815",1,13,-1
"816",1,33,12
"817",1,9,-1
"818",0,41,14
"819",1,48,14
"820",1,39,0
"821",1,45,2
"822",1,27,14
"823",1,49,14
"824",1,50,16
"825",1,17,-1
"826",1,57,12
"827",1,9,-1
"828",1,22,21
"829",1,35,16
"830",1,2,-1
"831",1,61,15
"832",1,62,0
"833",0,22,14
"834",1,17,-1
"835",1,11,-1
"836",1,52,12
"837",0,35,2
"838",0,12,-1
"839",0,33,2
"840",1,47,2
"841",1,22,21
"842",1,67,12
"843",0,9,-1
"844",1,9,-1
"845",0,46,2
"846",1,22,9
"847",1,49,21
"848",1,44,2
"849",1,15,-1
"850",1,52,15
"851",1,34,21
"852",0,45,12
"853",1,47,1
"854",0,23,2
"855",1,10,-1
"856",1,56,20
"857",1,37,8
"858",1,38,1
"859",0,46,14
"860",1,53,21
"861",1,39,14
"862",1,67,19
"863",1,53,16
"864",1,22,18
"865",0,3,-1
"866",1,25,16
"867",1,1,-1
"868",0,25,14
"869",1,29,14
"870",1,43,7
"871",1,59,14
"872",1,48,0
"873",0,16,-1
"874",1,65,0
"875",1,36,2
"876",1,32,14
"877",1,34,21
"878",1,50,15
"879",0,8,-1
"880",1,22,12
"881",1,51,0
"882",1,24,12
"883",1,26,1
"884",1,51,14
"885",1,27,9
"886",1,26,2
"887",1,46,0
"888",0,51,14
"889",1,46,1
"890",1,37,12
"891",0,76,13
"892",1,14,-1
"893",1,20,7
"894",0,20,1
"895",0,35,1
"896",1,7,-1
"897",1,3,-1
"898",1,29,0
"899",0,31,16
"900",1,20,12
"901",1,39,12
"902",1,18,-1
"903",1,20,4
"904",0,87,14
"905",1,44,21
"906",1,20,14
"907",1,42,1
"908",1,28,14
"909",1,24,12
"910",0,0,-1
"911",1,56,1
"912",1,33,2
"913",1,7,-1
"914",0,21,5
"915",1,50,14
"916",1,7,-1
"917",0,41,12
"918",1,46,14
"919",1,27,9
"920",1,76,2
"921",1,49,16
"922",1,36,0
"923",1,29,14
"924",1,29,1
"925",0,36,21
"926",1,62,14
"927",0,25,2
"928",1,16,-1
"929",1,54,12
"930",1,42,1
"931",1,29,12
"932",1,45,12
"933",1,21,19
"934",1,19,21
"935",0,25,21
"936",0,39,1
"937",1,25,12
"938",0,15,-1
"939",1,41,7
"940",1,28,16
"941",1,17,-1
"942",1,55,2
"943",1,62,2
"944",0,70,20
"945",1,14,-1
"946",1,33,14
"947",1,33,20
"948",1,19,2
"949",1,62,12
"950",1,43,2
"951",0,39,14
"952",1,0,-1
"953",1,0,-1
"954",0,49,12
"955",1,50,9
"956",1,48,2
"957",1,54,12
"958",1,0,-1
"959",1,49,14
"960",1,26,21
"961",0,18,-1
"962",1,36,21
"963",1,24,7
"964",1,18,-1
"965",1,14,-1
"966",0,43,14
"967",1,40,12
"968",1,25,2
"969",0,19,21
"970",0,75,11
"971",1,22,0
"972",1,2,-1
"973",1,30,18
"974",1,12,-1
"975",1,42,21
"976",1,47,20
"977",0,45,14
"978",1,50,21
"979",0,51,16
"980",1,58,0
"981",1,6,-1
"982",0,40,14
"983",1,37,14
"984",1,16,-1
"985",0,47,4
"986",1,10,-1
"987",1,74,16
"988",1,37,1
"989",1,19,14
"990",1,54,1
"991",0,10,-1
"992",1,43,19
"993",1,20,14
"994",0,31,8
"995",1,8,-1
"996",1,52,18
"997",1,15,-1
"998",1,39,15
"999",1,38,0
"1000",0,33,9
"1001",1,38,0
"1002",1,16,-1
"1003",0,11,-1
"1004",0,21,15
"1005",1,23,12
"1006",0,33,21
"1007",1,50,0
"1008",0,11,-1
"1009",1,59,14
"1010",1,10,-1
"1011",1,5,-1
"1012",0,36,12
"1013",1,29,16
"1014",1,21,14
"1015",1,76,14
"1016",0,30,12
"1017",1,49,12
"1018",0,45,12
"1019",1,19,21
"1020",0,25,14
"1021",1,11,-1
"1022",1,54,2
"1023",1,21,12
"1024",1,44,15
"1025",1,31,12
"1026",1,21,0
"1027",1,21,2
"1028",1,39,14
"1029",1,21,12
"1030",1,43,12
"1031",1,50,13
"1032",1,66,0
"1033",1,2,-1
"1034",0,55,12
"1035",1,65,15
"1036",1,50,18
"1037",1,29,13
"1038",1,68,1
"1039",0,5,-1
"1040",1,37,1
"1041",1,47,0
"1042",1,39,21
"1043",1,28,0
"1044",1,28,15
"1045",1,37,21
"1046",1,8,-1
"1047",0,20,10
"1048",1,16,-1
"1049",0,48,0
"1050",1,20,20
"1051",1,77,0
"1052",1,69,20
"1053",1,27,1
"1054",1,22,12
"1055",1,67,21
"1056",1,40,19
"1057",1,42,19
"1058",0,19,21
"1059",1,29,12
"1060",0,29,2
"1061",1,59,7
"1062",1,63,12
"1063",1,37,19
"1064",0,20,14
"1065",1,39,7
"1066",0,17,-1
"1067",0,42,12
"1068",1,59,11
"1069",1,22,21
"1070",1,52,18
"1071",0,69,12
"1072",1,6,-1
"1073",1,1,-1
"1074",1,6,-1
"1075",1,17,-1
"1076",1,51,1
"1077",1,26,0
"1078",1,30,20
"1079",1,18,-1
"1080",1,6,-1
"1081",0,3,-1
"1082",0,36,13
"1083",1,10,-1
"1084",1,5,-1
"1085",0,46,1
"1086",1,17,-1
"1087",1,47,1
"1088",0,24,9
"1089",1,17,-1
"1090",1,36,16
"1091",0,35,2
"1092",1,44,1
"1093",1,52,0
"1094",0,50,2
"1095",1,27,9
"1096",0,26,14
"1097",1,38,7
"1098",1,35,2
"1099",1,78,9
"1100",0,26,1
"1101",0,40,14
"1102",0,27,14
"1103",0,28,0
"1104",1,68,2
"1105",0,28,2
"1106",0,34,1
"1107",1,25,1
"1108",1,9,-1
"1109",1,65,12
"1110",0,31,14
"1111",1,80,19
"1112",0,5,-1
"1113",1,55,12
"1114",1,23,14
"1115",0,36,0
"1116",0,65,2
"1117",1,62,2
"1118",1,7,-1
"1119",1,29,15
"1120",0,75,14
"1121",1,68,9
"1122",0,14,-1
"1123",1,42,14
"1124",1,13,-1
"1125",0,6,-1
"1126",1,76,2
"1127",1,55,2
"1128",1,43,2
"1129",1,43,12
"1130",1,66,19
"1131",1,23,18
"1132",1,57,2
"1133",1,25,16
"1134",0,44,10
"1135",0,24,14
"1136",1,64,20
"1137",1,16,-1
"1138",0,42,1
"1139",1,1,-1
"1140",0,51,14
"1141",1,74,2
"1142",0,5,-1
"1143",1,21,18
"1144",1,3,-1
"1145",0,12,-1
"1146",1,2,-1
"1147",1,48,15
"1148",1,35,14
"1149",1,8,-1
"1150",1,27,2
"1151",1,24,15
"1152",1,29,12
"1153",0,37,12
"1154",1,30,2
"1155",1,62,2
"1156",1,9,-1
"1157",0,34,12
"1158",1,52,12
"1159",1,29,21
"1160",1,11,-1
"1161",1,14,-1
"1162",1,24,2
"1163",0,59,12
"1164",1,40,1
"1165",1,25,12
"1166",1,43,12
"1167",1,39,9
"1168",0,23,1
"1169",1,43,1
"1170",1,90,14
"1171",1,47,2
"1172",1,0,-1
"1173",1,53,14
"1174",1,70,14
"1175",0,33,3
"1176",0,14,-1
"1177",1,60,20
"1178",1,42,1
"1179",0,42,9
"1180",1,42,14
"1181",1,44,20
"1182",1,57,2
"1183",1,7,-1
"1184",1,51,14
"1185",1,57,20
"1186",1,72,21
"1187",1,43,12
"1188",1,30,1
"1189",0,53,12
"1190",1,23,12
"1191",1,26,18
"1192",1,62,14
"1193",1,12,-1
"1194",0,44,21
"1195",1,36,12
"1196",1,67,11
"1197",1,7,-1
"1198",1,41,16
"1199",0,50,12
"1200",1,4,-1
"1201",1,41,19
"1202",1,43,21
"1203",0,66,16
"1204",1,67,1
"1205",1,9,-1
"1206",1,27,14
"1207",1,46,2
"1208",1,36,20
"1209",0,18,-1
"1210",0,21,1
"1211",1,8,-1
"1212",1,27,14
"1213",0,20,12
"1214",0,52,16
"1215",0,51,11
"1216",0,32,20
"1217",0,21,14
"1218",1,38,21
"1219",0,47,1
"1220",1,28,18
"1221",1,75,9
"1222",1,29,2
"1223",1,27,2
"1224",0,8,-1
"1225",0,26,12
"1226",0,48,13
"1227",0,76,18
"1228",0,109,12
"1229",1,40,1
"1230",1,49,12
"1231",1,55,19
"1232",1,30,14
"1233",1,49,15
"1234",1,36,12
"1235",1,8,-1
"1236",0,19,1
"1237",1,54,7
"1238",1,21,12
"1239",0,47,1
"1240",1,40,1
"1241",1,18,-1
"1242",1,29,7
"1243",0,12,-1
"1244",1,1,-1
"1245",0,31,20
"1246",1,52,2
"1247",1,42,0
"1248",1,22,14
"1249",1,70,15
"1250",1,59,20
"1251",1,32,2
"1252",1,48,14
"1253",1,43,2
"1254",1,51,1
"1255",1,2,-1
"1256",0,63,21
"1257",1,64,0
"1258",1,19,9
"1259",1,5,-1
"1260",1,43,20
"1261",1,47,12
"1262",1,43,13
"1263",1,17,-1
"1264",0,22,19
"1265",1,12,-1
"1266",1,9,-1
"1267",1,10,-1
"1268",0,20,0
"1269",1,18,-1
"1270",1,8,-1
"1271",1,42,9
"1272",0,49,14
"1273",1,20,8
"1274",1,6,-1
"1275",1,62,15
"1276",1,22,0
"1277",1,77,14
"1278",0,2,-1
"1279",1,22,18
"1280",1,14,-1
"1281",1,3,-1
"1282",1,8,-1
"1283",1,50,16
"1284",1,9,-1
"1285",1,52,15
"1286",0,26,2
"1287",1,43,2
"1288",0,38,21
"1289",0,10,-1
"1290",1,6,-1
"1291",1,29,2
"1292",1,12,-1
"1293",0,24,14
"1294",1,12,-1
"1295",1,76,1
"1296",1,34,9
"1297",0,13,-1
"1298",0,6,-1
"1299",1,3,-1
"1300",1,21,0
"1301",1,17,-1
"1302",1,41,9
"1303",1,49,20
"1304",1,6,-1
"1305",0,20,15
"1306",1,33,14
"1307",1,30,2
"1308",1,0,-1
"1309",1,22,0
"1310",1,5,-1
"1311",0,12,-1
"1312",1,32,21
"1313",0,16,-1
"1314",0,1,-1
"1315",0,2,-1
"1316",1,7,-1
"1317",1,19,14
"1318",1,4,-1
"1319",1,18,-1
"1320",1,17,-1
"1321",0,41,14
"1322",0,56,21
"1323",1,72,0
"1324",1,42,0
"1325",1,13,-1
"1326",0,38,18
"1327",1,24,14
"1328",1,3,-1
"1329",1,53,14
"1330",0,24,2
"1331",0,5,-1
"1332",0,31,2
"1333",1,25,2
"1334",1,61,9
"1335",0,1,-1
"1336",0,79,19
"1337",1,13,-1
"1338",1,3,-1
"1339",0,27,12
"1340",0,71,12
"1341",0,42,0
"1342",1,61,14
"1343",1,52,21
"1344",1,17,-1
"1345",1,39,0
"1346",1,86,19
"1347",1,33,18
"1348",1,11,-1
"1349",0,36,0
"1350",0,12,-1
"1351",0,32,20
"1352",1,66,14
"1353",1,28,16
"1354",1,26,12
"1355",1,59,2
"1356",1,7,-1
"1357",1,46,14
"1358",1,9,-1
"1359",1,57,19
"1360",1,10,-1
"1361",1,53,1
"1362",1,6,-1
"1363",1,68,15
"1364",0,15,-1
"1365",1,99,21
"1366",1,41,3
"1367",0,58,21
"1368",1,29,17
"1369",1,35,21
"1370",1,24,12
"1371",1,49,16
"1372",1,28,9
"1373",1,2,-1
"1374",0,43,1
"1375",0,27,1
"1376",1,26,12
"1377",1,1,-1
"1378",1,9,-1
"1379",1,25,18
"1380",1,9,-1
"1381",1,71,2
"1382",0,28,21
"1383",1,23,0
"1384",1,7,-1
"1385",1,18,-1
"1386",1,16,-1
"1387",0,8,-1
"1388",1,60,12
"1389",0,19,19
"1390",1,41,14
"1391",1,47,21
"1392",0,9,-1
"1393",1,49,0
"1394",1,53,1
"1395",1,39,14
"1396",1,26,21
"1397",1,39,1
"1398",0,40,15
"1399",1,32,2
"1400",1,22,18
"1401",1,46,21
"1402",0,39,13
"1403",1,19,12
"1404",1,41,1
"1405",1,63,20
"1406",0,50,14
"1407",1,7,-1
"1408",1,19,14
"1409",0,66,20
"1410",1,40,12
"1411",1,61,20
"1412",1,6,-1
"1413",1,44,14
"1414",0,30,21
"1415",0,22,0
"1416",1,11,-1
"1417",1,17,-1
"1418",0,47,1
"1419",1,68,16
"1420",1,8,-1
"1421",1,52,21
"1422",0,63,14
"1423",1,5,-1
"1424",1,67,12
"1425",1,20,14
"1426",0,36,14
"1427",1,35,21
"1428",1,68,14
"1429",1,21,20
"1430",1,22,3
"1431",1,45,15
"1432",1,29,18
"1433",1,91,13
"1434",1,45,2
"1435",1,20,4
"1436",0,48,0
"1437",1,4,-1
"1438",0,36,1
"1439",0,4,-1
"1440",1,68,1
"1441",1,46,12
"1442",1,5,-1
"1443",1,7,-1
"1444",1,12,-1
"1445",1,16,-1
"1446",1,47,14
"1447",1,25,21
"1448",1,6,-1
"1449",1,39,0
"1450",0,6,-1
"1451",0,32,21
"1452",0,25,12
"1453",0,6,-1
"1454",1,22,1
"1455",1,49,14
