ID,sex,age,occupations
948,1,4,-1
949,0,33,9
950,0,26,7
951,1,44,20
952,1,49,14
953,0,45,12
954,0,32,20
955,1,59,15
956,1,92,21
957,1,42,15
958,1,26,9
959,0,31,18
960,1,43,18
961,1,30,12
962,1,3,-1
963,1,31,3
964,1,36,14
965,1,54,1
966,1,27,14
967,0,16,-1
968,0,18,-1
969,1,3,-1
970,0,48,15
971,0,28,1
972,0,55,2
973,1,60,12
974,1,47,21
975,1,33,0
976,1,2,-1
977,1,25,16
978,1,39,14
979,0,13,-1
980,1,24,13
981,0,36,0
982,0,12,-1
983,0,33,14
984,0,22,14
985,1,14,-1
986,1,17,-1
987,1,45,12
988,1,54,14
989,0,56,1
990,1,64,13
991,1,54,3
992,0,73,12
993,1,64,2
994,1,57,15
995,1,38,15
996,1,28,13
997,1,43,1
998,0,41,9
999,1,37,16
1000,1,37,1
1001,1,50,1
1002,1,50,14
1003,1,13,-1
1004,1,18,-1
1005,1,70,2
1006,0,85,15
1007,0,8,-1
1008,0,90,1
1009,0,57,14
1010,0,71,12
1011,0,11,-1
1012,0,8,-1
1013,1,35,2
1014,1,17,-1
1015,0,50,12
1016,0,33,2
1017,1,44,1
1018,0,8,-1
1019,1,11,-1
1020,0,56,14
1021,1,7,-1
1022,1,19,14
1023,0,23,2
1024,0,19,20
1025,0,2,-1
1026,1,17,-1
1027,1,70,16
1028,0,8,-1
1029,0,80,16
1030,1,76,13
1031,1,1,-1
1032,0,52,14
1033,0,26,0
1034,0,3,-1
1035,0,23,1
1036,0,83,0
1037,1,65,9
1038,1,59,13
1039,1,16,-1
1040,1,49,8
1041,1,37,0
1042,0,84,20
1043,0,39,0
1044,1,54,16
1045,0,22,1
1046,0,33,14
1047,1,49,2
1048,0,52,18
1049,1,25,1
1050,0,75,0
1051,1,52,9
1052,1,40,12
1053,0,3,-1
1054,1,7,-1
1055,1,24,19
1056,0,40,0
1057,0,33,9
1058,0,48,20
1059,1,17,-1
1060,0,16,-1
1061,0,47,12
1062,0,30,14
1063,1,63,1
1064,0,4,-1
1065,1,48,12
1066,1,13,-1
1067,1,42,0
1068,0,35,21
1069,0,35,9
1070,1,1,-1
1071,0,46,1
1072,1,7,-1
1073,1,42,14
1074,0,21,1
1075,1,8,-1
1076,0,32,14
1077,1,37,18
1078,0,50,16
1079,1,62,2
1080,0,25,2
1081,0,42,0
1082,1,31,14
1083,1,56,14
1084,0,25,2
1085,0,23,21
1086,0,48,15
1087,0,3,-1
1088,0,46,14
1089,0,3,-1
1090,1,37,16
1091,1,6,-1
1092,0,61,15
1093,1,52,14
1094,1,50,1
1095,1,32,9
1096,0,25,12
1097,1,83,21
1098,0,28,12
1099,1,81,15
1100,0,15,-1
1101,0,56,2
1102,0,48,14
1103,1,56,12
1104,1,3,-1
1105,0,44,0
1106,1,41,2
1107,0,17,-1
1108,1,54,20
1109,1,0,-1
1110,0,60,1
1111,0,15,-1
1112,1,0,-1
1113,1,40,16
1114,1,16,-1
1115,1,49,12
1116,1,54,2
1117,1,31,11
1118,0,47,2
1119,1,5,-1
1120,0,56,2
1121,1,57,1
1122,1,47,6
1123,0,28,9
1124,0,54,1
1125,1,22,15
1126,0,7,-1
1127,0,2,-1
1128,0,47,1
1129,1,66,2
1130,0,8,-1
1131,1,35,15
1132,1,75,1
1133,1,26,0
1134,0,17,-1
1135,0,20,18
1136,1,18,-1
1137,0,26,1
1138,1,47,18
1139,0,47,15
1140,1,15,-1
1141,0,1,-1
1142,1,45,0
1143,0,9,-1
1144,1,36,16
1145,0,83,15
1146,1,25,14
1147,0,40,18
1148,0,69,20
1149,0,43,2
1150,1,10,-1
1151,1,20,20
1152,0,85,12
1153,0,59,0
1154,1,47,16
1155,1,23,12
1156,1,4,-1
1157,1,49,21
1158,0,42,14
1159,1,54,1
1160,1,93,19
1161,1,22,14
1162,0,54,14
1163,1,15,-1
1164,1,22,1
1165,1,45,12
1166,1,35,2
1167,1,76,12
1168,0,50,1
1169,0,28,0
1170,1,10,-1
1171,0,68,18
1172,0,11,-1
1173,0,56,18
1174,0,33,18
1175,1,35,12
1176,1,45,2
1177,0,37,15
1178,1,19,16
1179,1,81,18
1180,0,33,0
1181,0,15,-1
1182,1,16,-1
1183,1,7,-1
1184,1,64,15
1185,0,2,-1
1186,0,36,1
1187,1,20,14
1188,0,32,1
1189,0,32,19
1190,0,41,3
1191,0,101,12
1192,1,33,0
1193,0,53,14
1194,0,90,1
1195,0,72,12
1196,1,20,14
1197,1,45,1
1198,0,27,14
1199,1,58,21
1200,1,25,19
1201,1,46,14
1202,0,64,12
1203,1,39,0
1204,0,10,-1
1205,0,80,15
1206,1,54,15
1207,0,75,21
1208,0,2,-1
1209,0,44,21
1210,1,18,-1
1211,0,60,2
1212,1,31,19
1213,0,0,-1
1214,0,58,14
1215,0,45,19
1216,0,29,12
1217,1,25,0
1218,0,70,1
1219,1,58,12
1220,1,47,2
1221,0,48,16
1222,1,52,2
1223,0,4,-1
1224,0,17,-1
1225,0,52,12
1226,1,3,-1
1227,1,20,1
1228,1,4,-1
1229,1,48,9
1230,0,3,-1
1231,0,58,12
1232,1,27,14
1233,0,14,-1
1234,1,18,-1
1235,0,32,1
1236,0,68,2
1237,0,52,21
1238,1,18,-1
1239,1,8,-1
1240,1,26,2
1241,1,34,16
1242,1,47,21
1243,0,20,2
1244,0,36,12
1245,1,47,2
1246,0,70,1
1247,1,56,4
1248,0,28,14
1249,1,58,16
1250,1,37,20
1251,1,33,1
1252,0,40,14
1253,0,55,14
1254,1,29,1
1255,0,33,12
1256,0,7,-1
1257,0,20,14
1258,0,80,1
1259,1,43,2
1260,1,17,-1
1261,1,34,14
1262,1,46,1
1263,1,48,1
1264,0,28,21
1265,1,45,12
1266,1,4,-1
1267,1,38,12
1268,0,4,-1
1269,1,94,20
1270,1,19,2
1271,1,20,12
1272,0,30,12
1273,0,41,7
1274,0,5,-1
1275,1,49,2
1276,1,70,13
1277,1,19,2
1278,0,39,0
1279,0,13,-1
1280,0,74,0
1281,1,59,18
1282,1,19,18
1283,0,5,-1
1284,1,42,15
1285,1,42,2
1286,0,30,16
1287,1,74,12
1288,1,47,21
1289,1,31,16
1290,1,54,14
1291,0,4,-1
1292,0,45,19
1293,1,33,12
1294,0,56,9
1295,0,68,13
1296,0,47,14
1297,0,60,10
1298,1,11,-1
1299,0,16,-1
1300,1,30,12
1301,1,5,-1
1302,1,45,14
1303,0,18,-1
1304,0,20,2
1305,1,41,16
1306,0,31,2
1307,1,28,2
1308,1,52,12
1309,1,44,0
1310,0,72,14
1311,0,71,0
1312,0,52,14
1313,1,29,2
1314,1,9,-1
1315,1,53,12
1316,1,41,0
1317,0,18,-1
1318,1,21,14
1319,1,1,-1
1320,1,44,2
1321,1,55,15
1322,1,35,14
1323,1,56,15
1324,0,10,-1
1325,1,24,15
1326,1,30,0
1327,0,9,-1
1328,0,9,-1
1329,1,38,14
1330,1,28,0
1331,1,54,20
1332,0,44,14
1333,0,41,1
1334,1,50,14
1335,0,41,2
1336,1,37,14
1337,1,18,-1
1338,1,27,16
1339,0,40,2
1340,1,39,8
1341,1,40,2
1342,0,15,-1
1343,1,20,14
1344,0,12,-1
1345,0,16,-1
1346,0,54,0
1347,0,48,20
1348,1,44,20
1349,0,6,-1
1350,1,20,12
1351,0,73,9
1352,0,95,6
1353,1,16,-1
1354,0,34,2
1355,1,17,-1
1356,0,43,15
1357,1,41,2
1358,1,16,-1
1359,1,14,-1
1360,0,34,14
1361,0,22,2
1362,1,59,14
1363,0,72,18
1364,1,25,16
1365,1,31,5
1366,1,50,5
1367,1,5,-1
1368,0,24,1
1369,1,44,2
1370,0,44,12
1371,0,3,-1
1372,0,29,2
1373,0,16,-1
1374,1,8,-1
1375,0,36,1
1376,0,51,12
1377,1,42,20
1378,0,3,-1
1379,0,62,16
1380,0,66,21
1381,1,54,12
1382,0,85,14
1383,0,23,18
1384,1,17,-1
1385,0,37,1
1386,1,47,1
1387,1,66,1
1388,0,53,12
1389,1,9,-1
1390,0,88,9
1391,0,6,-1
1392,1,29,1
1393,1,65,21
1394,0,21,14
1395,1,37,9
1396,0,47,18
1397,1,34,1
1398,0,11,-1
1399,1,50,6
1400,1,34,0
1401,1,75,14
1402,0,67,1
1403,1,12,-1
1404,1,27,1
1405,0,28,19
1406,1,82,15
1407,0,30,14
1408,0,38,7
1409,0,25,21
1410,1,2,-1
1411,0,68,12
1412,1,75,14
1413,1,65,16
1414,0,21,12
1415,0,15,-1
1416,0,42,2
1417,1,39,12
1418,1,22,20
1419,1,36,0
1420,1,15,-1
1421,0,12,-1
1422,0,48,15
1423,0,48,12
1424,0,17,-1
1425,0,30,1
1426,1,77,21
1427,1,13,-1
1428,0,27,12
1429,0,74,14
1430,0,56,14
1431,0,28,0
1432,0,31,2
1433,1,29,20
1434,0,19,1
1435,0,75,20
1436,1,6,-1
1437,0,1,-1
1438,1,42,5
1439,1,5,-1
1440,1,24,20
1441,0,63,13
1442,0,39,14
1443,0,39,18
1444,0,12,-1
1445,0,9,-1
1446,1,61,14
1447,1,32,18
1448,1,85,12
1449,1,44,14
1450,1,37,12
1451,1,44,2
1452,1,33,0
1453,1,65,14
1454,0,25,19
1455,0,28,19
1456,0,51,14
1457,1,12,-1
1458,0,15,-1
1459,0,44,1
1460,1,37,0
1461,0,74,0
1462,1,22,21
1463,0,6,-1
1464,0,44,0
1465,0,6,-1
1466,0,12,-1
1467,0,4,-1
1468,0,18,-1
1469,1,25,2
1470,0,58,20
1471,0,56,9
1472,0,67,14
1473,0,34,11
1474,1,41,12
1475,0,12,-1
1476,0,53,14
1477,0,48,18
1478,1,2,-1
1479,0,43,21
1480,1,27,20
1481,1,37,12
1482,0,17,-1
1483,0,45,12
1484,1,58,2
1485,1,46,14
1486,0,63,2
1487,0,64,2
1488,0,65,1
1489,1,4,-1
1490,0,44,1
1491,0,37,12
1492,1,49,0
1493,0,50,14
1494,0,2,-1
1495,0,35,1
1496,0,58,20
1497,0,2,-1
1498,1,39,2
1499,0,34,2
1500,0,36,15
1501,0,43,12
1502,0,29,20
1503,1,48,12
1504,1,28,16
1505,0,16,-1
1506,1,10,-1
1507,1,42,18
1508,0,74,14
1509,1,30,0
1510,0,9,-1
1511,1,22,2
1512,0,13,-1
1513,0,57,14
1514,0,38,2
1515,1,43,1
1516,0,41,12
1517,0,64,12
1518,1,32,1
1519,1,22,2
1520,1,5,-1
1521,1,20,12
1522,0,41,0
1523,0,3,-1
1524,0,47,15
1525,0,70,5
1526,0,52,1
1527,0,43,12
1528,1,21,14
1529,1,26,18
1530,1,0,-1
1531,0,31,21
1532,0,21,14
1533,0,6,-1
1534,1,28,14
1535,1,89,2
1536,0,28,12
1537,1,34,21
1538,1,11,-1
1539,1,58,19
1540,1,18,-1
1541,1,21,18
1542,0,45,12
1543,0,56,15
1544,0,22,3
1545,1,61,12
1546,0,40,12
1547,1,18,-1
1548,0,39,12
1549,0,31,1
1550,0,80,9
1551,0,24,14
1552,1,72,0
1553,0,15,-1
1554,1,33,0
1555,0,26,9
1556,1,21,20
1557,0,16,-1
1558,1,85,1
1559,1,73,18
1560,1,17,-1
1561,1,29,14
1562,0,66,18
1563,1,38,1
1564,0,59,1
1565,1,24,14
1566,0,44,2
1567,1,52,12
1568,0,94,9
1569,1,40,1
1570,0,5,-1
1571,1,19,12
1572,1,66,5
1573,1,56,12
1574,0,13,-1
1575,1,24,12
1576,1,49,12
1577,0,26,15
1578,0,23,15
1579,0,38,12
1580,0,47,12
1581,1,50,12
1582,0,36,2
1583,0,51,3
1584,1,13,-1
1585,1,20,12
1586,0,29,0
1587,0,32,9
1588,0,5,-1
1589,1,39,16
1590,1,49,12
1591,0,17,-1
1592,1,73,12
1593,1,25,5
1594,1,77,16
1595,0,58,7
1596,0,44,19
1597,0,31,2
1598,1,36,12
1599,1,45,2
1600,0,53,2
1601,1,34,1
1602,0,70,0
1603,0,24,14
1604,0,4,-1
1605,0,22,12
1606,0,23,2
1607,1,2,-1
1608,1,25,14
1609,0,48,18
1610,0,41,0
1611,1,15,-1
1612,1,17,-1
1613,1,54,9
1614,0,52,12
1615,1,35,14
1616,0,50,14
1617,0,63,1
1618,1,91,0
1619,1,18,-1
1620,1,27,12
1621,1,40,0
1622,1,42,14
1623,1,13,-1
